pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_腌渍,prodPcat_其他类
2022-12-10,11.5,344,5,12,-0.3536761221763721,0.935367949313148,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-11,11.5,345,6,12,-0.33752289959411347,0.941317317512847,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-12,11.5,346,0,12,-0.32126966169236515,0.9469877530760751,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-13,11.5,347,1,12,-0.3049212246562894,0.9523775757303973,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-14,11.5,348,2,12,-0.2884824328806098,0.9574851883550389,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-15,11.5,349,3,12,-0.27195815753410524,0.9623090774541487,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-16,11.5,350,4,12,-0.2553532951161881,0.9668478136052773,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-17,11.5,351,5,12,-0.23867276600594997,0.9711000518829505,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-18,11.5,352,6,12,-0.22192151300416674,0.9750645322571945,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-19,11.5,353,0,12,-0.20510449986861926,0.9787400799669153,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-20,11.5,354,1,12,-0.1882267098432439,0.9821256058680006,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-21,11.5,355,2,12,-0.1712931441814778,0.9852201067560606,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-22,11.5,356,3,12,-0.154308820664281,0.9880226656636976,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-23,11.5,357,4,12,-0.13727877211326517,0.9905324521322227,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-24,11.5,358,5,12,-0.12020804489935275,0.9927487224577402,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-25,11.5,359,6,12,-0.10310169744743544,0.9946708199115211,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-26,11.5,360,0,12,-0.0859647987374467,0.9962981749346077,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-27,11.5,361,1,12,-0.06880242680232064,0.9976303053065857,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-28,11.5,362,2,12,-0.05161966722325418,0.9986668162884759,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-29,11.5,363,3,12,-0.034421611622745804,0.9994074007397048,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-30,11.5,364,4,12,-0.01721335615583528,0.9998518392091162,11.5,11.5,11.5,8.5,11.5,True,True
2022-12-31,11.5,365,5,12,6.432490598706546e-16,1.0,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-01,11.5,1,6,1,0.017213356155834685,0.9998518392091162,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-02,11.5,2,0,1,0.03442161162274574,0.9994074007397048,11.5,11.5,11.5,8.5,11.5,True,True
