pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_红心,specInfo_UNKNOWN,prodPcat_进口果
2022-10-07,3.9125,280,4,10,-0.994217906893952,0.10738134666416306,3.925,4.0,4.3,3.75,4.094166666666667,False,True,True
2022-10-07,5.0,280,4,10,-0.994217906893952,0.10738134666416306,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-08,5.0,281,5,10,-0.9922222094179324,0.12447926388678869,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-08,3.9,281,5,10,-0.9922222094179324,0.12447926388678869,3.9125,3.9875,4.283333333333333,3.75,4.081388888888889,False,True,True
2022-10-09,3.8875,282,6,10,-0.989932495087353,0.141540295217043,3.9,3.975,4.266666666666667,3.75,4.06875,False,True,True
2022-10-09,5.0,282,6,10,-0.989932495087353,0.141540295217043,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-10,5.0,283,0,10,-0.9873494423939864,0.15855938510313475,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-10,3.875,283,0,10,-0.9873494423939864,0.15855938510313475,3.8875,3.9625,4.25,3.75,4.05625,False,True,True
2022-10-11,3.8625,284,1,10,-0.9844738167520923,0.17553149042142777,3.875,3.95,4.2375,3.75,4.04375,False,True,True
2022-10-11,5.0,284,1,10,-0.9844738167520923,0.17553149042142777,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-12,3.85,285,2,10,-0.9813064702716093,0.19245158197082995,3.8625,3.9375,4.225,3.75,4.031250000000001,False,True,True
2022-10-12,5.0,285,2,10,-0.9813064702716093,0.19245158197082995,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-13,5.0,286,3,10,-0.9778483415056567,0.20931464596304888,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-13,3.8375,286,3,10,-0.9778483415056567,0.20931464596304888,3.85,3.925,4.2125,3.75,4.01875,False,True,True
2022-10-14,5.0,287,4,10,-0.9741004551724206,0.22611568550828803,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-14,3.825,287,4,10,-0.9741004551724206,0.22611568550828803,3.8375,3.9125,4.2,3.75,4.00625,False,True,True
2022-10-15,3.8125,288,5,10,-0.970063921851507,0.2428497220959358,3.825,3.9,4.1875,3.75,3.99375,False,True,True
2022-10-15,5.0,288,5,10,-0.970063921851507,0.2428497220959358,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-16,3.8,289,6,10,-0.965739937654855,0.25951179706979943,3.8125,3.8875,4.175,3.75,3.98125,False,True,True
2022-10-16,5.0,289,6,10,-0.965739937654855,0.25951179706979943,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-17,3.7875,290,0,10,-0.9611297838723007,0.27609697309746883,3.8,3.875,4.1625,3.75,3.9687500000000004,False,True,True
2022-10-17,5.0,290,0,10,-0.9611297838723007,0.27609697309746883,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-18,5.0,291,1,10,-0.9562348265919058,0.2926003356333479,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-18,3.775,291,1,10,-0.9562348265919058,0.2926003356333479,3.7875,3.8625,4.15,3.75,3.95625,False,True,True
2022-10-19,5.0,292,2,10,-0.9510565162951536,0.30901699437494723,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-19,3.7625,292,2,10,-0.9510565162951536,0.30901699437494723,3.775,3.85,4.1375,3.75,3.94375,False,True,True
2022-10-20,5.0,293,3,10,-0.9455963874271428,0.3253420847119795,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-20,3.75,293,3,10,-0.9455963874271428,0.3253420847119795,3.7625,3.8375,4.125,3.75,3.93125,False,True,True
2022-10-21,5.0,294,4,10,-0.9398560579418953,0.341570769167856,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-21,3.75,294,4,10,-0.9398560579418953,0.341570769167856,3.75,3.825,4.1125,3.75,3.919166666666667,False,True,True
2022-10-22,5.0,295,5,10,-0.9338372288229252,0.35769823883312546,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-22,3.75,295,5,10,-0.9338372288229252,0.35769823883312546,3.75,3.8125,4.1,3.75,3.9074999999999998,False,True,True
2022-10-23,5.0,296,6,10,-0.9275416835791965,0.3737197147904692,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-23,3.75,296,6,10,-0.9275416835791965,0.3737197147904692,3.75,3.8,4.0875,3.75,3.89625,False,True,True
2022-10-24,3.75,297,0,10,-0.9209712877166347,0.38963044953078774,3.75,3.7875,4.075,3.75,3.8854166666666665,False,True,True
2022-10-24,5.0,297,0,10,-0.9209712877166347,0.38963044953078774,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-25,3.75,298,1,10,-0.9141279881853337,0.4054257283599973,3.75,3.775,4.0625,3.75,3.875,False,True,True
2022-10-25,5.0,298,1,10,-0.9141279881853337,0.4054257283599973,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-26,3.75,299,2,10,-0.9070138128026362,0.42110087079608916,3.75,3.7625,4.05,3.75,3.865,False,True,True
2022-10-26,5.0,299,2,10,-0.9070138128026362,0.42110087079608916,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-27,3.75,300,3,10,-0.8996308696522434,0.4366512319560638,3.75,3.75,4.0375,3.75,3.8554166666666663,False,True,True
2022-10-27,5.0,300,3,10,-0.8996308696522434,0.4366512319560638,5.0,5.0,5.0,4.75,5.0,True,False,True
2022-10-28,3.75,301,4,10,-0.8919813464595487,0.45207220393230374,3.75,3.75,4.025,3.75,3.84625,False,True,True
2022-10-28,5.0,301,4,10,-0.8919813464595487,0.45207220393230374,5.0,5.0,5.0,4.75,5.0,True,False,True
