pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散装,prodPcat_干果
2022-12-30,12.75,364,4,12,-0.01721335615583528,0.9998518392091162,12.75,12.75,12.75,13.25,12.75,True,True
2022-12-31,12.75,365,5,12,6.432490598706546e-16,1.0,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-01,12.75,1,6,1,0.017213356155834685,0.9998518392091162,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-02,12.75,2,0,1,0.03442161162274574,0.9994074007397048,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-03,12.75,3,1,1,0.051619667223253764,0.998666816288476,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-04,12.75,4,2,1,0.06880242680231986,0.9976303053065857,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-05,12.75,5,3,1,0.08596479873744647,0.9962981749346078,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-06,12.75,6,4,1,0.10310169744743485,0.9946708199115211,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-07,12.75,7,5,1,0.1202080448993527,0.9927487224577402,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-08,12.75,8,6,1,0.13727877211326478,0.9905324521322229,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-09,12.75,9,0,1,0.15430882066428117,0.9880226656636976,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-10,12.75,10,1,1,0.1712931441814776,0.9852201067560606,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-11,12.75,11,2,1,0.1882267098432442,0.9821256058680006,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-12,12.75,12,3,1,0.2051044998686192,0.9787400799669153,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-13,12.75,13,4,1,0.2219215130041655,0.9750645322571948,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-14,12.75,14,5,1,0.2386727660059501,0.9711000518829505,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-15,12.75,15,6,1,0.255353295116187,0.9668478136052775,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-16,12.75,16,0,1,0.2719581575341055,0.9623090774541486,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-17,12.75,17,1,1,0.288482432880609,0.9574851883550393,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-18,12.75,18,2,1,0.30492122465628907,0.9523775757303974,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-19,12.75,19,3,1,0.3212696616923644,0.9469877530760753,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-20,12.75,20,4,1,0.3375228995941133,0.9413173175128471,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-21,12.75,21,5,1,0.3536761221763716,0.9353679493131483,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-22,12.75,22,6,1,0.3697245428906731,0.9291414114031743,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-23,12.75,23,0,1,0.38566340624360707,0.9226395488404876,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-24,12.75,24,1,1,0.401487989205973,0.9158642882672872,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-25,12.75,25,2,1,0.4171936026123168,0.9088176373395029,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-26,12.75,26,3,1,0.4327755925504312,0.901501684131884,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-27,12.75,27,4,1,0.4482293417404106,0.893918596519257,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-28,12.75,28,5,1,0.4635502709028509,0.886070621534138,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-29,12.75,29,6,1,0.47873384011578846,0.8779600847008882,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-30,12.75,30,0,1,0.49377555015997715,0.869589389346611,12.75,12.75,12.75,13.25,12.75,True,True
2023-01-31,12.75,31,1,1,0.5086709438521044,0.8609610158889943,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-01,12.75,32,2,2,0.5234156073655503,0.8520775211013093,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-02,12.75,33,3,2,0.5380051715382996,0.8429415373547828,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-03,12.75,34,4,2,0.5524353131676196,0.8335557718385699,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-04,12.75,35,5,2,0.5667017562911176,0.8239230057575542,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-05,12.75,36,6,2,0.5808002734538009,0.8140460935082178,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-06,12.75,37,0,2,0.5947266869607634,0.8039279618328213,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-07,12.75,38,1,2,0.6084768701151261,0.7935716089521474,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-08,12.75,39,2,2,0.6220467484408675,0.7829801036770629,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-09,12.75,40,3,2,0.6354323008901774,0.7721565844991642,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-10,12.75,41,4,2,0.6486295610349814,0.7611042586607747,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-11,12.75,42,5,2,0.6616346182422783,0.7498264012045686,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-12,12.75,43,6,2,0.6744436188329455,0.7383263540031065,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-13,12.75,44,0,2,0.6870527672236669,0.7266075247685656,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-14,12.75,45,1,2,0.699458327051647,0.7146733860429609,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-15,12.75,46,2,2,0.7116566222817746,0.7025274741691571,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-16,12.75,47,3,2,0.7236440382959124,0.6901733882429719,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-17,12.75,48,4,2,0.7354170229639855,0.6776147890466889,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-18,12.75,49,5,2,0.7469720876965552,0.6648553979642865,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-19,12.75,50,6,2,0.7583058084785624,0.6518989958787126,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-20,12.75,51,0,2,0.7694148268839378,0.6387494220515272,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-21,12.75,52,1,2,0.7802958510707755,0.6254105729852463,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-22,12.75,53,2,2,0.7909456567567772,0.6118864012687243,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-23,12.75,54,3,2,0.8013610881746766,0.5981809144059165,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-24,12.75,55,4,2,0.8115390590073611,0.5842981736283684,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-25,12.75,56,5,2,0.8214765533024142,0.5702422926917871,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-26,12.75,57,6,2,0.8311706263658079,0.5560174366570446,12.75,12.75,12.75,13.25,12.75,True,True
2023-02-27,12.75,58,0,2,0.8406184056344782,0.5416278206559814,12.75,12.75,12.75,13.25,12.75,True,True
