pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,specInfo_鲜,prodPcat_海水鱼,prodPcat_虾蟹类
2023-02-19,37.5,50,6,2,0.7583058084785624,0.6518989958787126,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-20,16.5,51,0,2,0.7694148268839378,0.6387494220515272,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-20,64.0,51,0,2,0.7694148268839378,0.6387494220515272,64.0,64.0,62.57881136950904,40.93798449612403,63.502583979328165,True,False,True,False
2023-02-20,37.5,51,0,2,0.7694148268839378,0.6387494220515272,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-21,16.5,52,1,2,0.7802958510707755,0.6254105729852463,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-21,64.0,52,1,2,0.7802958510707755,0.6254105729852463,64.0,64.0,62.643410852713174,41.002583979328165,63.547803617571056,True,False,True,False
2023-02-21,37.5,52,1,2,0.7802958510707755,0.6254105729852463,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-22,64.0,53,2,2,0.7909456567567772,0.6118864012687243,64.0,64.0,62.70801033591731,41.0671834625323,63.59086993970714,True,False,True,False
2023-02-22,37.5,53,2,2,0.7909456567567772,0.6118864012687243,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-22,16.5,53,2,2,0.7909456567567772,0.6118864012687243,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-23,37.5,54,3,2,0.8013610881746766,0.5981809144059165,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-23,16.5,54,3,2,0.8013610881746766,0.5981809144059165,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-23,75.0,54,3,2,0.8013610881746766,0.5981809144059165,64.0,64.0,62.77260981912144,41.13178294573643,63.9984496124031,True,False,True,False
2023-02-24,37.5,55,4,2,0.8115390590073611,0.5842981736283684,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-24,16.5,55,4,2,0.8115390590073611,0.5842981736283684,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-24,75.0,55,4,2,0.8115390590073611,0.5842981736283684,75.0,64.0,62.837209302325576,41.19638242894057,64.40387596899225,True,False,True,False
2023-02-25,37.5,56,5,2,0.8214765533024142,0.5702422926917871,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-25,75.0,56,5,2,0.8214765533024142,0.5702422926917871,75.0,64.0,62.90180878552971,41.2609819121447,64.80714900947459,True,False,True,False
2023-02-25,16.5,56,5,2,0.8214765533024142,0.5702422926917871,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-26,75.0,57,6,2,0.8311706263658079,0.5560174366570446,75.0,64.0,62.966408268733844,41.325581395348834,65.20826873385013,True,False,True,False
2023-02-26,37.5,57,6,2,0.8311706263658079,0.5560174366570446,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-26,16.5,57,6,2,0.8311706263658079,0.5560174366570446,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-27,75.0,58,0,2,0.8406184056344782,0.5416278206559814,75.0,64.0,63.03100775193798,41.39018087855297,65.60723514211887,True,False,True,False
2023-02-27,37.5,58,0,2,0.8406184056344782,0.5416278206559814,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-27,16.5,58,0,2,0.8406184056344782,0.5416278206559814,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-28,75.0,59,1,2,0.8498170915275278,0.5270777086423722,75.0,64.0,63.09560723514212,41.4547803617571,66.00404823428079,True,False,True,False
2023-02-28,37.5,59,1,2,0.8498170915275278,0.5270777086423722,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-28,16.5,59,1,2,0.8498170915275278,0.5270777086423722,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-03-01,37.5,60,2,3,0.8587639582758029,0.5123714121284237,37.5,37.5,37.5,39.0,37.5,True,False,False,True
